t,car,x,y,psi,vx,vy,speed,r,ax,ay,throttle,brake_demand,steer,yaw_error,stab_out,surface,abs_enabled,stab_enabled,kappa_FL,alpha_FL,Fz_FL,Fx_FL,Fy_FL,omega_FL,brake_cmd_FL,brake_actual_FL,mu_FL,abs_state_FL,kappa_FR,alpha_FR,Fz_FR,Fx_FR,Fy_FR,omega_FR,brake_cmd_FR,brake_actual_FR,mu_FR,abs_state_FR,kappa_RL,alpha_RL,Fz_RL,Fx_RL,Fy_RL,omega_RL,brake_cmd_RL,brake_actual_RL,mu_RL,abs_state_RL,kappa_RR,alpha_RR,Fz_RR,Fx_RR,Fy_RR,omega_RR,brake_cmd_RR,brake_actual_RR,mu_RR,abs_state_RR
22.444000000004447,early,346.9045259476099,87.59986106797952,2.357467610527742,18.419050273228905,-0.012639825808229756,18.41905461018372,0.0017158276707612608,2.2842064968886557,0.05346820923961276,1.0,0.0,-0.0003666212709139823,-0.004216871081953706,0.0,wet,0,1,-0.00033276093171810293,0.0002171709381213168,3752.738100969691,-26.620874537448234,13.030256492128613,57.54454081394642,0.0,5.180627046120698e-137,0.6,A,-0.0003362275599441484,0.00021725388319580438,3724.3139948299668,-26.898204795531875,13.035233196832673,57.53603301666458,0.0,9.993442906706439e-212,0.6,A,0.041901994044184,0.0008259093364205005,3633.186005170033,1825.3513843942749,26.98395018770158,59.975720919961745,0.0,5.180627046120698e-137,0.6,A,0.04148277954954174,0.000826028598304413,3604.7618990303085,1810.2929860809443,27.035690486913964,59.94293358241269,0.0,9.993442906706439e-212,0.6,A
22.449000000004453,early,346.8393458703023,87.66496372957414,2.357475994747461,18.430470779416403,-0.012532629243624064,18.430475040478953,0.0016381621245747829,2.284067138625491,0.05207731977174457,1.0,0.0,-0.0003705534881947092,-0.004167597982106264,0.0,wet,0,1,-0.0003327216074137232,0.00020667421464078242,3752.38928892241,-26.617728593097855,12.400453055005553,57.58003234755712,0.0,2.657189903691118e-137,0.6,A,-0.00033622679132666144,0.00020675320252736267,3724.7053894102373,-26.898143306132916,12.405192328402878,57.57189827242952,0.0,5.125726163727268e-212,0.6,A,0.04189781400363671,0.0008132639043827716,3632.794610589762,1825.1624192092258,26.57070084186888,60.01246870069594,0.0,2.657189903691118e-137,0.6,A,0.041485630390997424,0.0008133759547728506,3605.1107110775897,1810.4632418244971,26.622246885841726,59.98046322909618,0.0,5.125726163727268e-212,0.6,A
22.45400000000446,early,346.7741244490613,87.73010579827881,2.357483992126573,18.441890595149623,-0.01242320873836733,18.44189477953888,0.0015610888433762867,2.283927829992942,0.05110887980664082,1.0,0.0,-0.00037437780608297154,-0.00411821332766398,0.0,wet,0,1,-0.0003327094471445158,0.00020147077695113088,3752.1524518413744,-26.616755771561262,12.088246780623741,57.61552152333156,0.0,1.3628964450481148e-137,0.6,A,-0.00033619814851688017,0.00020154583490583904,3724.984797346552,-26.895851881350413,12.092750258089097,57.60776147168883,0.0,2.62903075054212e-212,0.6,A,0.04189367229036631,0.0008005616462376297,3632.5152026534474,1825.019067503422,26.156227802654033,60.0492176400411,0.0,1.3628964450481148e-137,0.6,A,0.04148845223543535,0.0008006666916192283,3605.347548158625,1810.5879070465883,26.206287432244974,60.01798766823457,0.0,2.62903075054212e-212,0.6,A
22.459000000004465,early,346.70886170308495,87.79528728839455,2.35749160562978,18.453309719590333,-0.012311641178270459,18.45331382661758,0.0014846054193935927,2.2837883975314304,0.050134453273249,1.0,0.0,-0.0003780957538936197,-0.004068723790916011,0.0,wet,0,1,-0.0003327016155374104,0.00019622211216991395,3751.9140543829462,-26.616129242992834,11.773326881298098,57.65100971287901,0.0,6.990417648902486e-138,0.6,A,-0.0003361653877658687,0.00019629327073120782,3725.2658024633165,-26.893231021269496,11.777596395140181,57.64362131684156,0.0,1.3484533637805606e-212,0.6,A,0.04188956720425678,0.0007878066371011715,3632.234197536683,1824.875323429076,25.73998644023983,60.085967635237296,0.0,6.990417648902486e-138,0.6,A,0.041491247446541986,0.000787904883129696,3605.5859456170533,1810.7129190950466,25.78862893846312,60.055507036319135,0.0,1.3484533637805606e-212,0.6,A
22.46400000000447,early,346.64355765169427,87.86050821434239,2.357498838194608,18.46472815207506,-0.012198000948000914,18.464732181140903,0.0014087073780217247,2.2836488578357352,0.04915445189873556,1.0,0.0,-0.0003817088516857414,-0.004019133940076558,0.0,wet,0,1,-0.00033269436581010033,0.0001909312926726554,3751.6742034981494,-26.615549264808028,11.45587769956641,57.686497119145955,0.0,3.5854476753266634e-138,0.6,A,-0.00033613204697014717,0.00019099858538968592,3725.548293586789,-26.890563757611773,11.45991526273548,57.679477613061316,0.0,6.916337794512904e-213,0.6,A,0.041885490118629846,0.000775002638772238,3631.9517064132106,1824.7311566732826,25.322105708874528,60.12271817893484,0.0,3.5854476753266634e-138,0.6,A,0.041494025317588445,0.0007750942899933121,3605.82579650185,1810.8383113967202,25.369388223912527,60.093021875792154,0.0,6.916337794512904e-213,0.6,A
22.469000000004478,early,346.57821231432564,87.9257685906564,2.3575056927376754,18.476145891972756,-0.012082360139046896,18.476149842564286,0.0013333907121259054,2.2835092144297766,0.048169270505189384,1.0,0.0,-0.0003852186131908909,-0.0039694487934072795,0.0,wet,0,1,-0.0003326871178087693,0.00018560123428068952,3751.4330033442866,-26.614969424701545,11.136074184712525,57.72198376400122,0.0,1.8390081506108162e-138,0.6,A,-0.000336098674657217,0.00018566469755035823,3725.832165613784,-26.88789397257736,11.139881981023862,57.71533033657624,0.0,3.547451456066235e-213,0.6,A,0.04188143422442489,0.0007621533176086987,3631.6678343862154,1824.586549960786,24.902710246099375,60.159468868795706,0.0,1.8390081506108162e-138,0.6,A,0.04149679329334367,0.0007622385773887846,3606.066996655713,1810.964102909264,24.94868023447264,60.13053262263336,0.0,3.547451456066235e-213,0.6,A
22.474000000004484,early,346.51282571052343,87.99106843197657,2.357512172155954,18.487562938660876,-0.011964788652793438,18.487566810348913,0.001258651554655914,2.2833694687997124,0.04717928822831678,1.0,0.0,-0.00039361431358627346,-0.003953825969446973,0.0,wet,0,1,-0.00033267978303324914,0.0001802347206753737,3751.1905541837195,-26.61438264265993,10.814083357619316,57.75746964135807,0.0,9.43243712991821e-139,0.6,A,-0.00033606535474391266,0.0001802943935748913,3726.1173178489507,-26.885228379513013,10.817663731706718,57.75117949006641,0.0,1.8195195502351443e-213,0.6,A,0.04187739420247739,0.0007492622238475426,3631.382682151049,1824.441496961383,24.48191993195764,60.19621938797756,0.0,9.43243712991821e-139,0.6,A,0.04149955729828268,0.000749341294284507,3606.30944581628,1811.0903013646507,24.52661714106471,60.168039625736846,0.0,1.8195195502351443e-213,0.6,A
22.47900000000449,early,346.44739786341023,88.05640775652465,2.3575182754877853,18.498979290765536,-0.011847239032251374,18.498983084408852,0.0011829574856841972,2.283229497925075,0.045799699458186904,1.0,0.0,-0.0003969157963404178,-0.003902416227327181,0.0,wet,0,1,-0.00033264342994980523,0.00017004771448163807,3750.844851390619,-26.61147439598442,10.202862967241046,57.79295276379545,0.0,4.83798128791917e-139,0.6,A,-0.0003360613229577176,0.00017010358636093098,3726.5057906767547,-26.88490583661741,10.206215280095586,57.78702714367444,0.0,9.332478357178366e-214,0.6,A,0.04187320334792099,0.0007363107737534678,3630.994209323245,1824.2532789793474,24.058660647783,60.23295622940045,0.0,4.83798128791917e-139,0.6,A,0.0415024852942108,0.0007363837590859335,3606.6551486093804,1811.2595965051294,24.103057599788837,60.205556454807514,0.0,9.332478357178366e-214,0.6,A
22.484000000004496,early,346.38192879602474,88.12178658243792,2.357524001936519,18.510394948809285,-0.011727679392548315,18.51039866397718,0.0011078955502453922,2.283089589859136,0.044815411739669284,1.0,0.0,-0.0004001133170551631,-0.0038509537018962692,0.0,wet,0,1,-0.0003326324154981338,0.00016480756834017911,3750.6039277883287,-26.610593239850704,9.888454189939278,57.828433728265686,0.0,2.4814438325823207e-139,0.6,A,-0.0003360313915506549,0.0001648596826959891,3726.789467928414,-26.88251132405239,9.891581051372833,57.82287254002069,0.0,4.786711540194604e-214,0.6,A,0.04186904916237085,0.0007233178635768225,3630.7105320715855,1824.1077363200397,23.634581521406567,60.26969422984561,0.0,2.4814438325823207e-139,0.6,A,0.0415053890200744,0.0007233849699883715,3606.896072211671,1811.3862406797614,23.677584541071326,60.24306823658014,0.0,4.786711540194604e-214,0.6,A
22.489000000004502,early,346.31641852794394,88.18720492438285,2.3575293546632223,18.521809912011328,-0.011606184796453714,18.52181354835985,0.0010334624087253285,2.282949566276527,0.0438263099646308,1.0,0.0,-0.0004032084601965811,-0.003799444601644717,0.0,wet,0,1,-0.0003326254179356253,0.00015952856660292358,3750.3617542781744,-26.610033434850024,9.571714077373425,57.86391380704976,0.0,1.2727547147891559e-139,0.6,A,-0.0003359975997804081,0.00015957696955602103,3727.074429576974,-26.87980798243265,9.574618254633204,57.8587144632905,0.0,2.4551471208511574e-214,0.6,A,0.041864930705970325,0.0007102873513279365,3630.425570423025,1823.9619097455004,23.20923389491822,60.306433327854684,0.0,1.2727547147891559e-139,0.6,A,0.04150826998045338,0.0007103487834722605,3607.1382457218247,1811.5131284360987,23.250903327338907,60.2805750613767,0.0,2.4551471208511574e-214,0.6,A
