t,car,x,y,psi,vx,vy,speed,r,ax,ay,throttle,brake_demand,steer,yaw_error,stab_out,surface,abs_enabled,stab_enabled,kappa_FL,alpha_FL,Fz_FL,Fx_FL,Fy_FL,omega_FL,brake_cmd_FL,brake_actual_FL,mu_FL,abs_state_FL,kappa_FR,alpha_FR,Fz_FR,Fx_FR,Fy_FR,omega_FR,brake_cmd_FR,brake_actual_FR,mu_FR,abs_state_FR,kappa_RL,alpha_RL,Fz_RL,Fx_RL,Fy_RL,omega_RL,brake_cmd_RL,brake_actual_RL,mu_RL,abs_state_RL,kappa_RR,alpha_RR,Fz_RR,Fx_RR,Fy_RR,omega_RR,brake_cmd_RR,brake_actual_RR,mu_RR,abs_state_RR
0.004,car,0.07999903015839618,0.0,0.0,19.999516894982097,0.0,19.999516894982097,0.0,-0.11987986523342949,0.0,0.0002908292207775034,0.0,0.0,0.0,0.0,snow,0,1,1.3142605748489579e-05,-0.0,4105.785178578626,1.0514084598791662,-0.0,62.4993116898369,0.0,0.0,0.3,A,1.3142605748489579e-05,-0.0,4105.785178578626,1.0514084598791662,-0.0,62.4993116898369,0.0,0.0,0.3,A,1.3142605748489579e-05,-0.0,3251.7148214213735,1.0514084598791662,-0.0,62.4993116898369,0.0,0.0,0.3,A,1.3142605748489579e-05,-0.0,3251.7148214213735,1.0514084598791662,-0.0,62.4993116898369,0.0,0.0,0.3,A
0.009000000000000001,car,0.1799951347523938,0.0,0.0,19.998927089648294,0.0,19.998927089648294,0.0,-0.11710280476770858,0.0,0.000646858241762672,0.0,0.0,0.0,0.0,snow,0,1,1.648880166706957e-05,-0.0,4105.372269719105,1.3191041333655655,-0.0,62.49767764997071,0.0,0.0,0.3,A,1.648880166706957e-05,-0.0,4105.372269719105,1.3191041333655655,-0.0,62.49767764997071,0.0,0.0,0.3,A,3.5086069445412565e-05,-0.0,3252.1277302808944,2.8068855556330052,-0.0,62.49883991685311,0.0,0.0,0.3,A,3.5086069445412565e-05,-0.0,3252.1277302808944,2.8068855556330052,-0.0,62.49883991685311,0.0,0.0,0.3,A
0.014000000000000005,car,0.2799883250214707,0.0,0.0,19.9983512826856,0.0,19.9983512826856,0.0,-0.1142561336741033,0.0,0.0009956398540075994,0.0,0.0,0.0,0.0,snow,0,1,1.6758296165556744e-05,-0.0,4104.936356146095,1.3406636932445395,-0.0,62.495895065560056,0.0,0.0,0.3,A,1.6758296165556744e-05,-0.0,4104.936356146095,1.3406636932445395,-0.0,62.495895065560056,0.0,0.0,0.3,A,6.14979339819185e-05,-0.0,3252.5636438539045,4.91983471855348,-0.0,62.49869106241415,0.0,0.0,0.3,A,6.14979339819185e-05,-0.0,3252.5636438539045,4.91983471855348,-0.0,62.49869106241415,0.0,0.0,0.3,A
0.01900000000000001,car,0.37997867178054406,0.0,0.0,19.997789667289048,0.0,19.997789667289048,0.0,-0.11142517075902558,0.0,0.001337029757361087,0.0,0.0,0.0,0.0,snow,0,1,1.646722998481083e-05,-0.0,4104.504006906043,1.3173783987848666,-0.0,62.4941217984084,0.0,0.0,0.3,A,1.646722998481083e-05,-0.0,4104.504006906043,1.3173783987848666,-0.0,62.4941217984084,0.0,0.0,0.3,A,8.825530043446752e-05,-0.0,3252.9959930939567,7.060424034757402,-0.0,62.4986080569505,0.0,0.0,0.3,A,8.825530043446752e-05,-0.0,3252.9959930939567,7.060424034757402,-0.0,62.4986080569505,0.0,0.0,0.3,A
0.024000000000000014,car,0.4799662455153979,0.0,0.0,19.997242030466623,0.0,19.997242030466623,0.0,-0.10864646358446556,0.0,0.0016711277898828953,0.0,0.0,0.0,0.0,snow,0,1,1.6079978255880378e-05,-0.0,4104.079848061709,1.2863982604704303,-0.0,62.49238620526141,0.0,0.0,0.3,A,1.6079978255880378e-05,-0.0,4104.079848061709,1.2863982604704303,-0.0,62.49238620526141,0.0,0.0,0.3,A,0.00011460822780596072,-0.0,3253.4201519382914,9.168658224476857,-0.0,62.498543371677314,0.0,0.0,0.3,A,0.00011460822780596072,-0.0,3253.4201519382914,9.168658224476857,-0.0,62.498543371677314,0.0,0.0,0.3,A
0.02900000000000002,car,0.5799511154217684,0.0,0.0,19.996708089737712,0.0,19.996708089737712,0.0,-0.10592570100371419,0.0,0.0019980760477538695,0.0,0.0,0.0,0.0,snow,0,1,1.568211149639008e-05,-0.0,4103.664572852622,1.2545689197112064,-0.0,62.49069275107355,0.0,0.0,0.3,A,1.568211149639008e-05,-0.0,4103.664572852622,1.2545689197112064,-0.0,62.49069275107355,0.0,0.0,0.3,A,0.00014042826667793568,-0.0,3253.8354271473777,11.234261334234855,-0.0,62.4984881024813,0.0,0.0,0.3,A,0.00014042826667793568,-0.0,3253.8354271473777,11.234261334234855,-0.0,62.4984881024813,0.0,0.0,0.3,A
0.03400000000000002,car,0.6799333492543431,0.0,0.0,19.996187554923612,0.0,19.996187554923612,0.0,-0.10326292038435876,0.0,0.0023180218263668946,0.0,0.0,0.0,0.0,snow,0,1,1.5289275027834534e-05,-0.0,4103.258154801139,1.2231420022267627,-0.0,62.48904150667077,0.0,0.0,0.3,A,1.5289275027834534e-05,-0.0,4103.258154801139,1.2231420022267627,-0.0,62.48904150667077,0.0,0.0,0.3,A,0.00016570130692658135,-0.0,3254.2418451988597,13.256104554126509,-0.0,62.49844046667191,0.0,0.0,0.3,A,0.00016570130692658135,-0.0,3254.2418451988597,13.256104554126509,-0.0,62.49844046667191,0.0,0.0,0.3,A
0.03900000000000003,car,0.779913013324118,0.0,0.0,19.995680139401042,0.0,19.995680139401042,0.0,-0.10065714115387306,0.0,0.0026311108611067765,0.0,0.0,0.0,0.0,snow,0,1,1.4904210430667372e-05,-0.0,4102.860438325013,1.1923368344533898,-0.0,62.48743174757982,0.0,0.0,0.3,A,1.4904210430667372e-05,-0.0,4102.860438325013,1.1923368344533898,-0.0,62.48743174757982,0.0,0.0,0.3,A,0.00019043411096031403,-0.0,3254.6395616749865,15.234728876825123,-0.0,62.498399996785736,0.0,0.0,0.3,A,0.00019043411096031403,-0.0,3254.6395616749865,15.234728876825123,-0.0,62.498399996785736,0.0,0.0,0.3,A
0.04400000000000003,car,0.8798901725225057,0.0,0.0,19.995185562067533,0.0,19.995185562067533,0.0,-0.0981072161328431,0.0,0.0029374861370769735,0.0,0.0,0.0,0.0,snow,0,1,1.4527280813253959e-05,-0.0,4102.471247240584,1.1621824650603167,-0.0,62.485862617947205,0.0,0.0,0.3,A,1.4527280813253959e-05,-0.0,4102.471247240584,1.1621824650603167,-0.0,62.485862617947205,0.0,0.0,0.3,A,0.00021463709293737297,-0.0,3255.0287527594155,17.170967434989837,-0.0,62.49836647052912,0.0,0.0,0.3,A,0.00021463709293737297,-0.0,3255.0287527594155,17.170967434989837,-0.0,62.49836647052912,0.0,0.0,0.3,A
0.04900000000000004,car,0.9798648903498492,0.0,0.0,19.994703547601603,0.0,19.994703547601603,0.0,-0.09561198759927428,0.0,0.003237287721432096,0.0,0.0,0.0,0.0,snow,0,1,1.4158413333119752e-05,-0.0,4102.090404642505,1.1326730666495801,-0.0,62.484333252746566,0.0,0.0,0.3,A,1.4158413333119752e-05,-0.0,4102.090404642505,1.1326730666495801,-0.0,62.484333252746566,0.0,0.0,0.3,A,0.00023832114947555406,-0.0,3255.4095953574947,19.065691958044326,-0.0,62.49833971354528,0.0,0.0,0.3,A,0.00023832114947555406,-0.0,3255.4095953574947,19.065691958044326,-0.0,62.49833971354528,0.0,0.0,0.3,A
