persona,final_t,final_speed,mean_speed
pro,88.86400000006026,17.65287896957774,15.438859673311445
cautious,89.99900000006568,14.00429446965427,13.174907387559642
novice,86.68900000004987,17.92415710954096,15.829237866290772
aggressive,79.94900000001769,22.374270952502474,17.165804354704015
